x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-49.34000E-06,-238.69337143E-03,-175.87935926E-03,-25.12566745E-03,+4.94974866509E+00
-49.32000E-06,-439.69839811E-03,-376.88438592E-03,-25.12566746E-03,+4.94974866509E+00
-49.30000E-06,-37.68834474E-03,-376.88438594E-03,-25.12566746E-03,+4.94974866509E+00
-49.28000E-06,-439.69839811E-03,-376.88438594E-03,-25.12566746E-03,+5.15075369178E+00
-49.26000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566745E-03,+5.15075369178E+00
-49.24000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.22000E-06,-238.69337140E-03,-175.87935925E-03,-25.12566747E-03,+4.94974866511E+00
-49.20000E-06,-238.69337143E-03,-376.88438593E-03,-226.13069415E-03,+4.94974866511E+00
-49.18000E-06,-238.69337143E-03,-175.87935926E-03,-226.13069415E-03,+4.94974866509E+00
-49.16000E-06,-238.69337143E-03,-376.88438593E-03,-25.12566747E-03,+4.94974866511E+00
-49.14000E-06,-238.69337144E-03,+25.12566744E-03,-226.13069415E-03,+4.94974866509E+00
-49.12000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.10000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566747E-03,+4.94974866509E+00
-49.08000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566747E-03,+4.94974866509E+00
-49.06000E-06,-238.69337143E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866511E+00
-49.04000E-06,-439.69839810E-03,-376.88438594E-03,-25.12566747E-03,+4.94974866509E+00
-49.02000E-06,-238.69337142E-03,+25.12566744E-03,-226.13069415E-03,+4.94974866509E+00
-49.00000E-06,-439.69839811E-03,+226.13069413E-03,-25.12566747E-03,+4.94974866509E+00
-48.98000E-06,-238.69337143E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-48.96000E-06,-439.69839810E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-48.94000E-06,-439.69839810E-03,-175.87935925E-03,-226.13069415E-03,+4.74874363841E+00
-48.92000E-06,-238.69337143E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-48.90000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-48.88000E-06,-439.69839810E-03,-376.88438594E-03,-226.13069413E-03,+4.94974866509E+00
-48.86000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-48.84000E-06,-238.69337140E-03,+25.12566743E-03,-226.13069413E-03,+4.94974866509E+00
-48.82000E-06,-238.69337143E-03,-175.87935925E-03,-25.12566747E-03,+4.94974866509E+00
-48.80000E-06,-238.69337143E-03,-175.87935925E-03,-226.13069413E-03,+4.94974866511E+00
-48.78000E-06,-238.69337143E-03,+25.12566741E-03,-226.13069413E-03,+4.94974866509E+00
-48.76000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069413E-03,+4.94974866509E+00
-48.74000E-06,-439.69839809E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-48.72000E-06,-238.69337142E-03,-577.88941262E-03,-226.13069415E-03,+4.94974866509E+00
